domain1_score,essay_set,words_count,sentence_count,avg_sentence_length,total_spelling_errors,total_sentence_errors
3,2,421,25,16,25,30
4,2,408,23,17,32,27
3,2,195,15,13,15,33
4,2,423,17,24,44,30
4,2,808,44,18,50,25
3,2,302,16,18,33,32
4,2,386,16,24,12,1
4,2,391,25,15,30,9
3,2,296,13,22,39,23
3,2,378,21,18,25,33
3,2,351,19,18,31,26
4,2,455,22,20,30,16
4,2,460,22,20,18,32
4,2,397,22,18,37,17
3,2,434,30,14,52,20
2,2,160,9,17,14,24
4,2,689,23,29,153,17
4,2,413,20,20,25,30
3,2,358,21,17,21,5
4,2,471,16,29,32,18
5,2,713,32,22,25,29
2,2,125,8,15,27,34
4,2,295,14,21,32,24
3,2,313,12,26,19,1
4,2,418,20,20,25,26
3,2,268,16,16,32,34
3,2,262,7,37,19,10
4,2,479,16,29,39,0
3,2,278,16,17,27,2
5,2,629,25,25,19,9
3,2,448,21,21,21,33
4,2,532,32,16,54,13
4,2,434,24,18,39,24
3,2,388,24,16,13,34
4,2,663,20,33,27,15
3,2,232,7,33,13,8
3,2,432,20,21,42,10
2,2,91,1,91,3,7
4,2,472,24,19,19,27
3,2,193,12,16,22,13
4,2,370,22,16,25,6
3,2,109,4,27,9,28
3,2,386,14,27,22,27
4,2,278,13,21,20,2
3,2,227,11,20,10,12
5,2,558,32,17,34,19
3,2,420,17,24,162,14
3,2,322,16,20,40,7
3,2,333,12,27,17,6
2,2,325,8,40,40,25
3,2,435,11,39,47,7
4,2,370,26,14,34,10
3,2,317,18,17,24,11
3,2,252,14,18,110,17
4,2,297,17,17,36,1
4,2,870,43,20,37,17
3,2,356,19,18,21,19
3,2,328,14,23,14,14
3,2,296,13,22,19,32
3,2,188,9,20,8,0
4,2,552,22,25,34,9
4,2,320,13,24,19,17
4,2,584,25,23,38,12
4,2,491,21,23,35,10
3,2,274,17,16,21,34
3,2,368,19,19,18,12
4,2,383,12,31,39,21
3,2,239,14,17,31,22
4,2,467,22,21,30,12
4,2,505,38,13,28,7
3,2,414,17,24,31,25
4,2,347,15,23,31,18
4,2,571,23,24,50,18
3,2,205,10,20,10,3
3,2,232,9,25,22,30
3,2,346,16,21,27,5
4,2,752,47,16,22,27
3,2,217,13,16,35,4
3,2,426,32,13,39,6
3,2,469,20,23,28,14
4,2,470,20,23,36,19
2,2,88,5,17,8,0
4,2,463,16,28,29,33
4,2,716,41,17,32,16
4,2,391,13,30,28,8
4,2,488,21,23,34,27
3,2,276,16,17,19,18
3,2,419,14,29,19,1
3,2,379,17,22,29,26
4,2,277,21,13,25,32
3,2,345,13,26,22,33
3,2,281,3,93,12,0
4,2,368,12,30,24,32
3,2,562,17,33,33,31
3,2,352,15,23,23,27
3,2,524,4,131,38,11
3,2,471,17,27,53,18
3,2,247,17,14,17,19
5,2,635,31,20,46,18
3,2,394,19,20,37,25
4,2,395,27,14,39,8
4,2,344,18,19,11,31
4,2,253,12,21,23,9
3,2,257,11,23,24,32
4,2,436,17,25,39,16
3,2,419,25,16,23,33
3,2,354,16,22,58,26
4,2,418,21,19,16,5
4,2,660,17,38,155,31
5,2,893,31,28,33,34
3,2,258,15,17,20,15
5,2,666,33,20,57,16
4,2,584,26,22,49,1
4,2,421,19,22,43,19
3,2,379,23,16,18,9
1,2,46,3,15,0,23
3,2,218,9,24,35,7
5,2,351,23,15,18,6
3,2,158,8,19,9,16
1,2,48,4,12,2,12
3,2,413,10,41,44,24
3,2,368,15,24,24,1
3,2,395,20,19,20,4
4,2,279,19,14,29,8
5,2,451,23,19,45,2
4,2,499,26,19,24,7
3,2,442,16,27,42,17
3,2,251,6,41,12,18
3,2,352,20,17,14,28
4,2,499,30,16,30,24
3,2,416,28,14,40,7
4,2,299,17,17,22,19
4,2,599,29,20,48,6
4,2,389,16,24,68,17
3,2,438,20,21,24,23
4,2,450,19,23,21,18
3,2,356,15,23,7,24
3,2,339,12,28,16,21
4,2,514,24,21,46,23
2,2,47,2,23,0,18
4,2,451,22,20,24,20
3,2,358,13,27,56,2
4,2,636,23,27,28,16
4,2,338,16,21,26,27
5,2,628,27,23,27,26
4,2,475,23,20,30,16
3,2,379,9,42,41,28
3,2,552,42,13,92,24
3,2,351,18,19,16,0
3,2,287,14,20,16,28
3,2,314,13,24,23,24
3,2,419,26,16,25,6
4,2,375,20,18,23,22
3,2,360,14,25,5,18
4,2,532,30,17,33,34
4,2,536,32,16,27,17
4,2,578,22,26,22,17
3,2,469,23,20,43,14
3,2,481,25,19,40,31
4,2,457,28,16,28,27
3,2,503,30,16,26,15
5,2,611,35,17,39,2
3,2,464,22,21,51,0
3,2,338,15,22,35,11
3,2,350,15,23,22,3
3,2,333,12,27,21,3
3,2,495,30,16,24,31
4,2,386,20,19,20,12
4,2,538,29,18,23,5
3,2,379,11,34,7,12
4,2,437,25,17,63,21
3,2,426,9,47,72,11
3,2,391,11,35,52,4
5,2,509,20,25,24,23
3,2,420,12,35,28,19
4,2,453,21,21,39,1
4,2,367,15,24,23,16
2,2,274,15,18,23,3
3,2,541,26,20,36,20
4,2,475,20,23,23,13
4,2,430,17,25,23,22
3,2,381,17,22,17,12
4,2,316,13,24,19,3
3,2,514,21,24,43,28
3,2,257,21,12,22,9
4,2,476,18,26,23,31
3,2,279,11,25,16,19
5,2,849,46,18,23,24
2,2,181,11,16,26,2
4,2,467,22,21,48,20
4,2,447,25,17,30,13
4,2,497,32,15,57,1
4,2,629,39,16,39,26
2,2,208,12,17,17,9
3,2,473,24,19,35,20
3,2,567,31,18,35,32
4,2,377,17,22,20,22
4,2,597,27,22,30,20
4,2,595,29,20,32,9
4,2,441,21,21,42,34
3,2,264,10,26,47,17
4,2,713,31,23,71,29
3,2,204,9,22,26,24
3,2,283,10,28,25,21
3,2,542,19,28,145,13
3,2,471,25,18,34,10
4,2,640,33,19,29,10
3,2,226,13,17,20,5
4,2,219,16,13,14,31
3,2,193,7,27,20,23
2,2,51,3,17,4,23
4,2,400,22,18,32,3
4,2,355,19,18,17,1
4,2,514,28,18,25,23
4,2,483,26,18,22,34
3,2,250,18,13,21,0
3,2,256,16,16,24,28
4,2,676,30,22,36,16
4,2,492,9,54,28,29
5,2,641,33,19,65,2
4,2,529,28,18,32,24
3,2,238,13,18,30,6
3,2,646,40,16,39,7
3,2,239,5,47,2,28
4,2,386,21,18,22,14
4,2,328,17,19,19,29
4,2,467,25,18,21,32
4,2,491,20,24,37,15
4,2,486,24,20,42,21
3,2,222,16,13,18,14
4,2,526,25,21,26,33
3,2,315,11,28,17,17
4,2,481,27,17,42,26
3,2,204,7,29,2,25
4,2,334,16,20,21,12
4,2,488,22,22,37,32
2,2,317,13,24,21,19
4,2,464,15,30,34,20
3,2,418,10,41,18,8
4,2,368,25,14,22,24
2,2,197,6,32,95,26
4,2,486,20,24,21,11
3,2,276,16,17,32,31
3,2,397,25,15,35,12
2,2,49,1,49,1,29
1,2,63,2,31,12,16
4,2,561,41,13,63,12
3,2,278,9,30,28,14
4,2,299,12,24,28,34
3,2,364,13,28,25,13
4,2,533,25,21,30,28
4,2,705,38,18,37,23
4,2,422,21,20,41,33
3,2,338,11,30,22,15
4,2,464,19,24,23,3
3,2,468,21,22,30,14
3,2,409,13,31,32,12
4,2,414,14,29,23,28
4,2,473,22,21,26,29
4,2,393,20,19,32,3
1,2,39,1,39,1,5
4,2,462,32,14,24,2
5,2,722,36,20,59,13
4,2,276,22,12,53,17
5,2,512,18,28,37,24
3,2,448,26,17,39,32
3,2,360,23,15,14,29
3,2,226,10,22,20,6
3,2,340,15,22,21,4
5,2,501,24,20,40,34
3,2,367,11,33,37,21
3,2,492,24,20,113,30
4,2,517,28,18,27,34
3,2,548,31,17,32,12
4,2,675,32,21,39,5
4,2,369,19,19,26,32
3,2,551,29,19,29,27
3,2,509,30,16,36,3
3,2,364,23,15,39,19
3,2,368,11,33,23,8
5,2,653,32,20,37,15
3,2,331,14,23,8,5
4,2,767,44,17,22,14
3,2,206,10,20,12,7
3,2,262,17,15,23,14
4,2,608,26,23,31,8
2,2,430,16,26,33,34
3,2,421,21,20,36,29
3,2,470,16,29,20,5
4,2,349,21,16,35,7
3,2,328,14,23,90,25
4,2,503,21,23,21,10
3,2,342,12,28,31,23
3,2,591,29,20,29,15
4,2,378,27,14,30,11
4,2,377,23,16,28,17
5,2,733,25,29,32,18
6,2,547,24,22,47,6
4,2,537,24,22,77,25
3,2,444,23,19,32,12
3,2,266,17,15,11,10
3,2,268,14,19,27,16
3,2,448,22,20,63,14
4,2,431,23,18,40,30
3,2,358,18,19,34,18
4,2,474,23,20,44,9
4,2,431,19,22,35,18
4,2,326,13,25,19,32
4,2,569,30,18,28,0
4,2,664,31,21,60,26
4,2,519,24,21,48,19
3,2,488,17,28,24,8
3,2,547,26,21,26,18
3,2,234,10,23,27,12
4,2,567,18,31,24,15
4,2,539,25,21,41,14
4,2,512,21,24,38,18
4,2,455,17,26,30,6
4,2,448,11,40,31,18
4,2,466,19,24,22,26
4,2,502,26,19,41,3
3,2,251,23,10,22,15
3,2,306,15,20,26,0
4,2,378,15,25,42,23
4,2,521,28,18,33,28
4,2,544,27,20,132,4
3,2,378,22,17,29,18
3,2,341,13,26,24,4
4,2,483,21,23,33,20
4,2,587,18,32,27,21
4,2,592,23,25,30,2
4,2,702,29,24,37,6
3,2,623,27,23,48,11
2,2,380,17,22,58,31
3,2,250,10,25,16,17
4,2,409,28,14,24,29
3,2,305,20,15,31,23
4,2,577,24,24,22,31
4,2,241,10,24,29,2
4,2,367,16,22,31,8
3,2,292,15,19,22,31
3,2,362,16,22,33,7
3,2,392,19,20,41,32
3,2,436,19,22,26,7
6,2,726,31,23,91,12
4,2,429,22,19,47,7
3,2,320,9,35,90,6
4,2,680,23,29,43,3
2,2,95,4,23,1,29
3,2,295,19,15,17,24
4,2,435,30,14,32,5
2,2,90,6,15,0,27
4,2,340,17,20,23,2
4,2,486,23,21,31,18
3,2,298,13,22,18,33
3,2,233,22,10,28,19
2,2,266,12,22,25,13
3,2,270,14,19,30,9
3,2,156,6,26,16,14
4,2,412,18,22,28,2
2,2,133,6,22,19,14
4,2,577,29,19,37,8
4,2,523,17,30,41,2
4,2,493,26,18,24,3
4,2,520,28,18,40,29
4,2,436,23,18,27,32
4,2,832,81,10,53,32
3,2,455,26,17,38,34
3,2,288,19,15,50,22
4,2,628,34,18,10,26
4,2,570,29,19,32,34
2,2,386,7,55,31,13
2,2,147,8,18,9,16
4,2,840,34,24,34,3
4,2,530,26,20,29,14
4,2,422,22,19,20,6
2,2,182,13,14,12,19
5,2,633,26,24,49,24
4,2,323,21,15,26,34
3,2,382,15,25,11,12
4,2,498,26,19,46,15
4,2,636,28,22,42,8
3,2,401,22,18,29,4
4,2,283,13,21,18,0
4,2,462,26,17,35,16
3,2,415,18,23,46,11
3,2,300,15,20,19,34
3,2,227,13,17,10,14
3,2,247,8,30,7,20
3,2,281,18,15,17,17
4,2,384,13,29,19,13
3,2,225,7,32,15,8
3,2,257,9,28,1,31
4,2,310,15,20,24,23
4,2,478,28,17,25,2
3,2,214,12,17,12,12
3,2,463,17,27,25,9
3,2,253,16,15,25,16
5,2,542,29,18,34,22
3,2,181,9,20,14,25
3,2,352,24,14,30,15
5,2,580,41,14,13,8
3,2,409,25,16,51,1
3,2,224,9,24,19,17
4,2,295,15,19,25,32
4,2,493,24,20,19,1
3,2,338,23,14,24,25
4,2,576,22,26,22,23
4,2,495,22,22,30,1
3,2,343,16,21,32,20
4,2,687,29,23,41,23
3,2,291,15,19,17,9
5,2,783,41,19,58,11
4,2,576,30,19,33,11
4,2,404,16,25,35,21
3,2,323,17,19,17,26
4,2,458,19,24,35,0
3,2,253,11,23,11,19
4,2,419,18,23,26,1
4,2,612,39,15,34,16
3,2,373,18,20,21,24
4,2,611,33,18,50,12
3,2,501,23,21,76,11
3,2,296,6,49,33,4
3,2,389,19,20,18,15
3,2,257,11,23,14,2
4,2,456,21,21,44,25
2,2,115,7,16,5,20
4,2,356,21,16,30,32
3,2,251,11,22,17,11
4,2,466,22,21,27,9
4,2,562,30,18,39,14
3,2,429,19,22,47,32
3,2,497,22,22,41,27
4,2,374,20,18,23,7
4,2,534,27,19,24,18
2,2,129,6,21,9,24
4,2,423,23,18,37,4
5,2,589,25,23,23,19
4,2,501,22,22,28,10
3,2,225,14,16,21,31
3,2,389,35,11,19,1
3,2,154,4,38,14,25
3,2,568,18,31,148,33
5,2,684,29,23,74,3
4,2,530,33,16,51,27
2,2,129,3,43,8,33
2,2,179,9,19,7,33
4,2,323,12,26,13,29
4,2,368,20,18,19,1
4,2,473,37,12,26,13
4,2,270,10,27,21,13
3,2,166,10,16,16,31
6,2,1119,74,15,110,21
4,2,383,19,20,12,29
5,2,823,40,20,36,29
4,2,510,21,24,80,4
2,2,317,11,28,24,15
4,2,721,27,26,36,27
3,2,337,12,28,15,4
3,2,295,19,15,10,33
3,2,748,23,32,50,2
4,2,634,34,18,28,2
4,2,350,18,19,29,29
4,2,419,20,20,42,1
4,2,325,14,23,14,5
4,2,535,29,18,29,33
2,2,168,9,18,20,31
4,2,578,23,25,29,4
3,2,240,16,15,25,19
3,2,243,16,15,17,17
3,2,288,11,26,16,13
2,2,114,5,22,3,23
3,2,227,10,22,10,11
3,2,326,15,21,21,19
3,2,406,24,16,22,3
2,2,139,7,19,6,34
4,2,608,26,23,27,23
3,2,303,10,30,25,16
3,2,275,4,68,3,2
4,2,433,26,16,31,5
2,2,170,7,24,8,17
4,2,496,29,17,21,3
2,2,249,8,31,29,7
4,2,410,20,20,21,29
3,2,531,20,26,157,19
5,2,653,29,22,27,30
4,2,363,18,20,67,14
4,2,550,19,28,79,7
1,2,226,4,56,12,26
4,2,990,43,23,34,26
3,2,232,11,21,14,28
3,2,502,17,29,36,1
4,2,436,24,18,24,0
2,2,305,6,50,117,1
3,2,443,26,17,82,21
3,2,457,26,17,45,27
4,2,625,24,26,36,20
4,2,374,30,12,28,16
3,2,416,20,20,16,0
2,2,231,3,77,28,20
4,2,588,21,28,25,28
3,2,397,8,49,14,31
4,2,494,24,20,40,4
3,2,362,9,40,30,10
3,2,216,15,14,16,10
3,2,395,21,18,25,15
4,2,418,21,19,34,6
4,2,534,19,28,31,33
3,2,262,13,20,24,17
3,2,321,17,18,16,11
4,2,421,16,26,33,19
4,2,358,20,17,91,20
4,2,431,16,26,46,26
4,2,354,16,22,28,34
3,2,393,15,26,42,24
3,2,344,21,16,22,22
4,2,515,23,22,37,32
3,2,233,12,19,25,6
4,2,488,29,16,36,4
2,2,55,3,18,0,29
3,2,325,21,15,20,4
3,2,403,19,21,40,16
4,2,401,24,16,15,27
3,2,317,18,17,27,7
4,2,393,14,28,16,25
4,2,733,32,22,166,27
3,2,239,16,14,23,18
3,2,193,10,19,11,18
4,2,705,24,29,57,8
4,2,456,23,19,32,21
3,2,334,22,15,24,26
3,2,646,14,46,182,14
3,2,474,30,15,30,20
4,2,392,27,14,31,1
3,2,310,16,19,22,10
4,2,811,21,38,51,1
3,2,518,24,21,31,14
3,2,326,24,13,28,10
4,2,660,38,17,31,12
4,2,393,18,21,26,17
4,2,527,24,21,38,24
3,2,575,36,15,50,6
4,2,349,21,16,30,9
4,2,616,26,23,31,4
2,2,65,4,16,5,13
2,2,184,12,15,3,25
3,2,217,14,15,0,6
4,2,470,18,26,39,14
3,2,509,15,33,28,20
3,2,202,10,20,20,13
3,2,280,17,16,3,11
3,2,323,25,12,19,23
3,2,175,9,19,13,25
4,2,420,26,16,27,2
2,2,148,5,29,7,7
2,2,141,6,23,21,34
4,2,460,25,18,37,6
3,2,237,13,18,8,17
3,2,344,14,24,19,6
3,2,227,8,28,22,6
3,2,632,20,31,38,26
4,2,327,14,23,27,25
2,2,238,15,15,15,32
3,2,355,23,15,25,19
4,2,632,28,22,39,28
3,2,450,29,15,29,14
3,2,208,12,17,23,14
4,2,518,42,12,29,7
3,2,250,14,17,18,19
3,2,262,14,18,22,23
2,2,163,10,16,24,34
3,2,373,6,62,33,5
5,2,613,31,19,54,14
3,2,356,15,23,36,14
2,2,193,14,13,26,5
3,2,251,11,22,16,33
3,2,226,6,37,11,13
4,2,353,21,16,25,26
1,2,39,5,7,5,16
4,2,577,27,21,23,14
4,2,503,13,38,25,29
3,2,245,9,27,14,34
3,2,174,11,15,15,17
3,2,330,16,20,28,1
3,2,331,19,17,29,10
4,2,560,27,20,46,30
5,2,678,33,20,88,26
4,2,406,26,15,19,21
2,2,82,1,82,4,3
3,2,324,17,19,18,31
6,2,671,32,20,28,0
2,2,126,10,12,20,3
3,2,187,6,31,9,28
4,2,438,17,25,22,29
3,2,401,26,15,31,33
3,2,210,4,52,1,15
4,2,482,34,14,29,22
2,2,135,8,16,20,2
3,2,460,15,30,61,14
2,2,200,7,28,5,17
4,2,543,28,19,31,17
4,2,381,18,21,27,13
4,2,498,23,21,44,27
3,2,282,10,28,28,1
1,2,198,3,66,44,18
4,2,609,32,19,39,1
4,2,538,38,14,25,18
4,2,305,17,17,21,31
4,2,316,10,31,12,9
1,2,54,2,27,2,28
4,2,451,18,25,16,0
3,2,367,27,13,30,15
4,2,468,16,29,26,3
3,2,541,30,18,86,24
4,2,638,26,24,35,29
3,2,451,19,23,19,31
3,2,462,28,16,53,4
2,2,47,3,15,2,19
3,2,168,8,21,12,18
4,2,437,25,17,27,3
4,2,405,18,22,64,8
3,2,561,24,23,64,18
3,2,214,12,17,29,2
4,2,589,28,21,41,0
4,2,357,16,22,18,34
4,2,356,17,20,24,11
3,2,372,27,13,16,28
5,2,868,43,20,72,34
3,2,566,28,20,35,24
4,2,390,17,22,25,25
3,2,286,14,20,26,11
4,2,269,14,19,18,4
3,2,391,16,24,19,23
4,2,676,30,22,38,32
3,2,320,15,21,15,29
4,2,247,16,15,22,8
5,2,825,40,20,22,16
3,2,327,6,54,27,21
4,2,399,20,19,21,11
4,2,484,24,20,59,29
4,2,305,18,16,19,6
4,2,421,19,22,24,23
3,2,376,12,31,11,31
3,2,260,14,18,17,1
3,2,394,16,24,37,18
4,2,642,24,26,48,15
4,2,384,18,21,30,15
5,2,298,19,15,28,11
4,2,419,22,19,20,34
4,2,575,29,19,37,0
4,2,468,23,20,61,9
3,2,430,29,14,29,19
5,2,1032,39,26,31,17
3,2,317,16,19,15,31
5,2,855,40,21,150,32
5,2,539,29,18,26,24
4,2,448,24,18,29,34
4,2,372,16,23,24,14
2,2,267,9,29,18,22
2,2,90,7,12,1,31
4,2,506,26,19,38,3
3,2,484,17,28,30,29
3,2,458,19,24,42,21
4,2,570,24,23,19,29
4,2,622,31,20,53,19
4,2,784,40,19,36,13
3,2,243,9,27,27,0
3,2,211,11,19,11,28
4,2,773,44,17,26,28
3,2,470,32,14,20,29
4,2,408,16,25,27,10
4,2,416,22,18,18,2
3,2,279,13,21,25,17
3,2,480,19,25,141,20
4,2,629,20,31,32,11
4,2,450,25,18,20,3
3,2,376,16,23,20,10
4,2,341,20,17,21,2
4,2,347,22,15,21,10
3,2,271,5,54,27,32
3,2,577,33,17,94,34
3,2,217,7,31,27,14
3,2,535,31,17,23,24
4,2,708,38,18,40,29
4,2,399,26,15,30,12
3,2,287,12,23,66,17
4,2,581,20,29,28,5
3,2,380,19,20,29,30
4,2,391,19,20,35,17
1,2,33,2,16,0,23
4,2,580,27,21,21,8
3,2,539,20,26,116,13
3,2,320,14,22,35,29
4,2,647,30,21,59,25
5,2,534,23,23,20,24
4,2,533,26,20,32,6
4,2,329,17,19,25,15
4,2,708,29,24,28,10
4,2,529,18,29,110,20
2,2,210,3,70,96,6
4,2,373,17,21,20,11
2,2,135,5,27,7,28
3,2,185,14,13,17,33
3,2,293,14,20,3,21
4,2,505,21,24,22,24
3,2,322,16,20,19,27
4,2,562,48,11,33,16
3,2,241,15,16,25,23
4,2,342,14,24,33,9
4,2,488,37,13,57,1
2,2,185,8,23,17,6
3,2,390,13,30,56,22
3,2,450,19,23,34,10
4,2,465,22,21,20,34
4,2,638,25,25,24,1
4,2,421,16,26,22,21
3,2,438,22,19,27,8
3,2,160,9,17,22,18
3,2,519,32,16,76,33
4,2,449,26,17,49,20
3,2,612,19,32,36,9
4,2,392,18,21,39,20
3,2,567,28,20,43,3
3,2,313,16,19,18,7
4,2,451,26,17,28,29
3,2,273,19,14,34,12
4,2,357,13,27,15,11
3,2,260,18,14,26,28
4,2,496,19,26,25,2
4,2,362,19,19,17,20
4,2,296,10,29,48,8
4,2,445,18,24,22,19
4,2,513,29,17,26,33
4,2,516,21,24,26,28
4,2,553,15,36,32,22
2,2,155,4,38,25,13
4,2,393,22,17,38,16
3,2,368,18,20,35,22
4,2,824,45,18,40,34
3,2,322,17,18,9,6
3,2,318,18,17,14,9
3,2,293,10,29,15,6
2,2,385,6,64,260,23
4,2,441,18,24,38,31
3,2,153,5,30,9,1
4,2,415,14,29,23,26
5,2,533,24,22,43,19
4,2,241,10,24,12,26
4,2,465,26,17,23,33
4,2,531,20,26,30,27
3,2,238,16,14,11,3
3,2,281,12,23,25,22
3,2,298,16,18,25,22
3,2,305,16,19,20,14
3,2,418,20,20,40,7
4,2,371,15,24,52,26
4,2,525,26,20,28,18
3,2,260,9,28,29,28
4,2,425,26,16,20,7
3,2,325,20,16,33,15
3,2,220,11,20,11,6
3,2,296,10,29,12,22
4,2,706,28,25,25,11
4,2,342,19,18,19,27
3,2,518,12,43,167,1
3,2,412,2,206,23,8
4,2,342,15,22,40,23
4,2,386,18,21,29,34
3,2,321,5,64,34,28
4,2,792,22,36,22,23
2,2,348,12,29,34,33
3,2,582,18,32,196,22
4,2,462,26,17,47,21
4,2,437,22,19,26,3
4,2,394,17,23,38,19
5,2,435,21,20,20,25
5,2,690,27,25,26,4
4,2,550,22,25,29,18
4,2,486,23,21,24,18
3,2,447,13,34,66,9
4,2,373,17,21,31,3
5,2,433,20,21,17,18
2,2,88,3,29,2,12
2,2,315,5,63,34,32
3,2,466,23,20,29,26
3,2,221,13,17,12,4
3,2,330,17,19,44,15
3,2,417,22,18,26,15
4,2,491,31,15,29,25
4,2,277,15,18,16,14
3,2,174,8,21,19,12
4,2,312,14,22,35,29
4,2,396,17,23,33,27
4,2,347,19,18,26,16
4,2,618,21,29,28,15
2,2,44,3,14,2,28
3,2,319,9,35,23,13
5,2,541,23,23,26,22
3,2,279,16,17,17,26
3,2,507,27,18,37,2
3,2,448,22,20,23,24
3,2,360,25,14,29,23
5,2,456,25,18,44,5
4,2,386,18,21,14,24
3,2,343,21,16,24,0
2,2,382,19,20,35,25
3,2,456,18,25,29,33
1,2,72,6,12,13,27
3,2,300,17,17,17,8
4,2,514,28,18,30,4
4,2,414,24,17,24,30
4,2,728,28,26,34,31
5,2,914,34,26,37,33
4,2,344,20,17,32,26
4,2,555,28,19,33,9
2,2,143,6,23,19,34
4,2,453,23,19,32,32
3,2,213,8,26,22,13
3,2,351,16,21,14,19
4,2,653,25,26,37,23
3,2,356,21,16,21,31
4,2,505,29,17,43,22
2,2,238,11,21,2,8
4,2,734,33,22,59,2
4,2,323,16,20,21,28
2,2,126,1,126,10,23
3,2,658,21,31,26,16
4,2,317,16,19,18,12
3,2,336,10,33,42,31
3,2,652,14,46,73,12
3,2,246,7,35,11,15
3,2,201,14,14,16,6
3,2,311,12,25,39,27
4,2,238,10,23,31,0
3,2,193,10,19,21,1
4,2,418,20,20,37,3
3,2,856,36,23,54,9
4,2,610,32,19,49,8
3,2,244,5,48,28,18
4,2,421,23,18,30,4
3,2,394,23,17,61,8
3,2,406,13,31,16,30
3,2,193,12,16,24,20
3,2,202,10,20,27,4
4,2,399,21,19,20,1
2,2,135,6,22,6,17
3,2,512,21,24,23,7
5,2,492,31,15,19,25
3,2,866,29,29,49,9
3,2,360,17,21,47,19
3,2,307,21,14,17,30
4,2,463,24,19,27,2
4,2,476,25,19,35,26
3,2,278,15,18,12,2
3,2,257,16,16,17,24
4,2,446,21,21,31,17
4,2,347,19,18,23,27
2,2,90,4,22,11,2
4,2,389,22,17,44,22
4,2,610,22,27,22,15
3,2,336,12,28,73,33
4,2,367,20,18,23,27
3,2,349,21,16,26,18
3,2,134,10,13,16,1
4,2,673,32,21,28,26
3,2,363,12,30,31,7
3,2,345,13,26,20,5
6,2,698,31,22,28,6
3,2,440,13,33,39,31
4,2,782,31,25,29,10
3,2,233,14,16,37,22
3,2,295,15,19,26,6
3,2,298,12,24,34,2
2,2,257,16,16,20,32
4,2,399,19,21,23,24
4,2,356,10,35,13,12
3,2,175,10,17,19,13
3,2,459,20,22,135,11
3,2,240,15,16,29,25
2,2,489,16,30,33,4
4,2,317,18,17,17,21
2,2,161,9,17,23,29
4,2,484,25,19,27,31
4,2,478,25,19,40,34
4,2,564,30,18,21,16
3,2,355,28,12,26,31
3,2,253,15,16,11,14
4,2,528,27,19,24,20
3,2,259,10,25,11,8
3,2,458,22,20,151,26
4,2,315,26,12,24,23
4,2,436,23,18,26,16
1,2,31,2,15,0,26
3,2,176,14,12,14,15
3,2,361,19,19,17,4
3,2,280,9,31,12,28
4,2,503,17,29,48,2
3,2,397,24,16,18,26
4,2,680,19,35,24,23
3,2,230,11,20,17,4
2,2,148,9,16,8,33
3,2,448,19,23,26,5
4,2,770,35,22,28,2
3,2,272,13,20,15,16
4,2,631,27,23,33,22
3,2,342,19,18,37,22
4,2,435,22,19,18,28
3,2,130,5,26,4,30
2,2,180,9,20,39,0
4,2,434,21,20,22,23
2,2,183,7,26,19,10
3,2,268,7,38,31,17
4,2,571,23,24,24,0
3,2,225,7,32,21,6
4,2,459,22,20,27,0
4,2,328,17,19,24,22
3,2,226,14,16,11,19
3,2,301,16,18,11,24
2,2,124,6,20,11,13
4,2,396,18,22,37,10
4,2,804,40,20,39,30
4,2,645,24,26,40,24
4,2,417,11,37,25,19
4,2,439,16,27,34,17
4,2,405,15,27,32,22
3,2,358,22,16,31,11
3,2,341,17,20,31,31
4,2,503,23,21,24,2
3,2,234,7,33,19,6
4,2,329,12,27,16,24
4,2,716,33,21,58,23
3,2,336,13,25,43,33
4,2,576,27,21,35,6
5,2,671,43,15,27,11
3,2,344,13,26,18,14
4,2,585,31,18,37,20
3,2,245,13,18,26,33
3,2,353,15,23,12,23
4,2,343,13,26,28,34
4,2,532,25,21,39,12
4,2,456,31,14,28,4
3,2,331,16,20,37,27
3,2,345,21,16,28,1
5,2,618,31,19,34,26
3,2,403,21,19,25,21
3,2,225,9,25,17,21
4,2,476,18,26,33,4
3,2,244,13,18,21,27
3,2,316,11,28,24,8
3,2,218,10,21,42,26
4,2,548,23,23,45,34
2,2,167,4,41,12,8
2,2,159,8,19,12,21
4,2,518,21,24,18,4
5,2,937,44,21,38,16
4,2,654,33,19,42,16
4,2,514,25,20,37,3
2,2,190,9,21,12,2
4,2,635,21,30,25,12
3,2,337,15,22,41,7
4,2,421,23,18,22,4
4,2,622,27,23,37,27
3,2,367,19,19,19,1
4,2,403,21,19,29,22
4,2,506,23,22,74,1
3,2,491,22,22,42,0
2,2,76,2,38,2,2
4,2,471,19,24,34,17
4,2,449,16,28,15,16
3,2,372,21,17,31,34
2,2,130,1,130,2,17
3,2,214,6,35,4,0
3,2,183,4,45,17,6
3,2,553,15,36,160,26
3,2,336,18,18,16,18
4,2,484,25,19,32,24
3,2,186,11,16,17,21
4,2,551,33,16,78,25
4,2,522,31,16,21,24
2,2,223,9,24,57,20
3,2,366,21,17,8,18
4,2,435,14,31,15,16
5,2,462,25,18,13,19
2,2,396,5,79,109,28
3,2,272,9,30,19,21
2,2,77,3,25,6,13
4,2,632,23,27,32,3
4,2,357,14,25,28,26
4,2,779,40,19,42,27
5,2,715,34,21,25,34
4,2,530,23,23,34,19
4,2,604,31,19,79,21
4,2,503,30,16,42,25
4,2,449,21,21,90,30
3,2,303,16,18,24,23
